sangre_ppm_di,sangre_ppm_dd,sangre_ppm_ti,sangre_ppm_td,conductividad_ms_cm_di,conductividad_ms_cm_dd,conductividad_ms_cm_ti,conductividad_ms_cm_td,media_de_los_flujos_kg_min_di,media_de_los_flujos_kg_min_dd,media_de_los_flujos_kg_min_ti,media_de_los_flujos_kg_min_td,flujos_maximos_kg_min_di,flujos_maximos_kg_min_dd,flujos_maximos_kg_min_ti,flujos_maximos_kg_min_td,producciones_kg_di,producciones_kg_dd,producciones_kg_ti,producciones_kg_td,health_anomaly_score,health_anomaly_label
0.0,0.0,0.0,0.0,4.71,4.73,4.69,4.84,1.38,1.86,1.68,1.62,1.86,2.58,2.16,2.04,5.54,4.62,3.32,6.6,0.7025184963621823,1
0.0,0.0,0.0,0.0,4.49,4.64,4.19,4.77,1.44,1.8,1.74,1.74,2.34,2.34,2.22,2.28,6.34,5.66,4.36,8.46,0.8350638957920168,1
,,,,,,,,,,,,,,,,,,,,1.4901161193847656e-08,1
0.0,0.0,0.0,0.0,4.65,4.72,4.57,4.75,1.44,1.74,1.74,1.68,2.04,2.34,2.28,2.28,5.98,4.98,3.12,6.85,0.7316713949199837,1
0.0,0.0,0.0,0.0,4.85,4.91,4.47,4.73,1.44,1.62,1.56,1.5,1.92,2.04,2.04,2.04,7.35,6.25,4.78,9.29,1.0888711645374787,1
0.0,0.0,0.0,0.0,4.17,4.46,4.21,4.45,1.32,1.74,1.38,1.74,2.16,2.22,1.86,2.16,4.17,3.59,2.64,5.0,0.8206289150901226,1
0.0,0.0,0.0,0.0,4.46,4.53,4.45,4.58,1.38,1.56,1.68,1.56,1.86,2.04,2.1,1.92,3.94,3.39,2.25,4.83,0.6285587445194211,1
0.0,0.0,0.0,0.0,4.82,4.79,5.07,5.16,1.44,1.68,2.16,1.68,1.86,2.16,2.64,2.16,6.55,4.79,3.73,8.36,0.7878948036180213,1
700.0,0.0,0.0,0.0,4.01,4.25,4.94,3.95,0.78,1.2,0.84,1.14,1.32,2.04,1.98,1.56,0.92,0.85,0.6,1.03,2.1802985599891977,-1
522.0,0.0,0.0,0.0,4.41,4.4,5.03,4.46,1.26,1.62,1.74,1.68,2.28,2.22,2.22,2.16,3.64,2.86,1.9,4.13,1.6731270138837033,-1
