metric,fold_1,fold_2,fold_3,mean,std
accuracy,0.9090909090909091,1.0,0.8181818181818182,0.9090909090909092,0.07422696190252052
precision,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317
recall,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317
f1,0.0,1.0,0.0,0.3333333333333333,0.4714045207910317
