date,time,action,resource_type,file,script,extra
2025-11-26,14:26:17,read,data,data/registros_sesiones_merged.csv,etl_sesiones.py,"{""purpose"": ""etl_sesiones_input"", ""source"": ""s3"", ""shape"": [7239, 34]}"
2025-11-26,14:26:17,write,data,data/sessions_behavior.csv,etl_sesiones.py,"{""purpose"": ""etl_sesiones_behavior"", ""shape"": [7239, 16]}"
2025-11-26,14:26:18,write,data,data/sessions_health.csv,etl_sesiones.py,"{""purpose"": ""etl_sesiones_health"", ""shape"": [7239, 20]}"
