metric,fold_1,fold_2,fold_3,mean,std
accuracy,0.77579776212184,0.7724823870700372,0.7753833402403647,0.774554496477414,0.0014749382859554523
precision,0.661520190023753,0.6571428571428571,0.6730279898218829,0.6638970123294977,0.006699319530737314
recall,0.6851168511685117,0.6789667896678967,0.6498771498771498,0.671320263571186,0.015369041561677607
f1,0.6731117824773414,0.6678765880217786,0.66125,0.6674127901663733,0.004853644831323476
