metric,fold_1,fold_2,fold_3,mean,std
accuracy,0.8769167012018234,0.8723580605055947,0.8603398259428098,0.8698715292167427,0.006992154018424504
precision,0.8969230769230769,0.9105691056910569,0.8816,0.896364060871378,0.01183319188679166
recall,0.7170971709717097,0.6888068880688807,0.6769041769041769,0.6942694119815891,0.01685721544128535
f1,0.7969924812030075,0.7843137254901961,0.7658095899930507,0.7823719322287515,0.01280419454334252
