metric,fold_1,fold_2,fold_3,mean,std
accuracy,0.8669705760464153,0.8636552009946126,0.8590965602983838,0.8632407791131372,0.0032278827035634506
precision,0.883177570093458,0.9115646258503401,0.8810289389067524,0.8919237116168501,0.013915897095039731
recall,0.6974169741697417,0.6592865928659286,0.6732186732186732,0.6766407467514478,0.015753611967658544
f1,0.7793814432989691,0.7651677373304783,0.7632311977715878,0.7692601261336783,0.007200386204276045
