metric,fold_1,fold_2,fold_3,mean,std
accuracy,0.8570688762299327,0.8626943005181347,0.8316062176165803,0.8504564647882158,0.013525536672763124
precision,0.7943485086342229,0.8600746268656716,0.7659574468085106,0.806793527436135,0.03941801420004966
recall,0.7772657450076805,0.7081413210445469,0.72,0.7351356886840757,0.0301812668280034
f1,0.7857142857142857,0.776748104465038,0.7422680412371134,0.7682434771388124,0.01872859763856765
