fold,accuracy,precision,recall,f1
1,0.8627654065251166,0.8163934426229508,0.7649769585253456,0.7898493259318001
2,0.8362694300518134,0.7768595041322314,0.7219662058371735,0.7484076433121019
3,0.8450777202072539,0.8162162162162162,0.696923076923077,0.7518672199170124
